Season,days per period,hours,hours per period,POD,Filter,DPH,rate1,rate
Spring,128,24,3072,C,HML,754,0.245442708,24.54427083
Spring,128,24,3072,C,HM,474,0.154296875,15.4296875
Spring,128,24,3072,C,H,117,0.038085938,3.80859375
Spring,128,24,3072,F,HML,915,0.297851563,29.78515625
Spring,128,24,3072,F,HM,890,0.289713542,28.97135417
Spring,128,24,3072,F,H,760,0.247395833,24.73958333
Summer,138,24,3312,C,HML,813,0.245471014,24.54710145
Summer,138,24,3312,C,HM,607,0.183272947,18.32729469
Summer,138,24,3312,C,H,188,0.056763285,5.676328502
Summer,138,24,3312,F,HML,910,0.274758454,27.47584541
Summer,138,24,3312,F,HM,863,0.260567633,26.05676329
Summer,138,24,3312,F,H,726,0.219202899,21.92028986
Autumn,92,24,2208,C,HML,645,0.292119565,29.21195652
Autumn,92,24,2208,C,HM,518,0.234601449,23.46014493
Autumn,92,24,2208,C,H,153,0.069293478,6.929347826
Autumn,92,24,2208,F,HML,711,0.32201087,32.20108696
Autumn,92,24,2208,F,HM,667,0.302083333,30.20833333
Autumn,92,24,2208,F,H,581,0.263134058,26.3134058
Winter,91,24,2184,C,HML,648,0.296703297,29.67032967
Winter,91,24,2184,C,HM,527,0.241300366,24.13003663
Winter,91,24,2184,C,H,181,0.082875458,8.287545788
Winter,91,24,2184,F,HML,815,0.373168498,37.31684982
Winter,91,24,2184,F,HM,814,0.372710623,37.27106227
Winter,91,24,2184,F,H,689,0.31547619,31.54761905
