Deployment,Date,datetime,day,month,year,hour,hour2,yday,year_yday,julian,difftoHT,difftoLT,F_DPM,F_DPH,season,diel_period,average_temp,tide_period,tidal.range,F_Nall
3,27/04/2021,27/04/2021 13:00,27,4,2021,13:00:00,13,117,2021_117,1,-5,1,0,0,Spring,day,11.35,Flood,3.3,54229
3,27/04/2021,27/04/2021 14:00,27,4,2021,14:00:00,14,117,2021_117,1,-4,2,5,1,Spring,day,11,Flood,3.3,16621
3,27/04/2021,27/04/2021 15:00,27,4,2021,15:00:00,15,117,2021_117,1,-3,3,0,0,Spring,day,10.8,Flood,3.3,14516
3,27/04/2021,27/04/2021 16:00,27,4,2021,16:00:00,16,117,2021_117,1,-2,4,4,1,Spring,day,11.05,Flood,3.3,15425
3,27/04/2021,27/04/2021 17:00,27,4,2021,17:00:00,17,117,2021_117,1,-1,5,1,1,Spring,day,10.8,Flood,3.3,14974
3,27/04/2021,27/04/2021 18:00,27,4,2021,18:00:00,18,117,2021_117,1,0,6,4,1,Spring,day,10.8,HW,3.3,16131
3,27/04/2021,27/04/2021 19:00,27,4,2021,19:00:00,19,117,2021_117,1,1,-5,5,1,Spring,day,10.75,Ebb,3.3,17255
3,27/04/2021,27/04/2021 20:00,27,4,2021,20:00:00,20,117,2021_117,1,2,-4,0,0,Spring,day,10.8,Ebb,3.3,17213
3,27/04/2021,27/04/2021 21:00,27,4,2021,21:00:00,21,117,2021_117,1,3,-3,0,0,Spring,evening,10.8,Ebb,3.3,30761
3,27/04/2021,27/04/2021 22:00,27,4,2021,22:00:00,22,117,2021_117,1,4,-2,0,0,Spring,night,10.75,Ebb,3.3,30554
3,27/04/2021,27/04/2021 23:00,27,4,2021,23:00:00,23,117,2021_117,1,5,-1,0,0,Spring,night,10.75,Ebb,3.3,30108
3,28/04/2021,28/04/2021 00:00,28,4,2021,00:00:00,0,118,2021_118,2,6,0,0,0,Spring,night,10.75,LW,3.4,28359
3,28/04/2021,28/04/2021 01:00,28,4,2021,01:00:00,1,118,2021_118,2,-5,1,0,0,Spring,night,10.7,Flood,3.4,27315
3,28/04/2021,28/04/2021 02:00,28,4,2021,02:00:00,2,118,2021_118,2,-4,2,0,0,Spring,night,10.75,Flood,3.4,28139
3,28/04/2021,28/04/2021 03:00,28,4,2021,03:00:00,3,118,2021_118,2,-3,3,0,0,Spring,night,10.8,Flood,3.4,25533
3,28/04/2021,28/04/2021 04:00,28,4,2021,04:00:00,4,118,2021_118,2,-2,4,0,0,Spring,night,10.8,Flood,3.4,24308
3,28/04/2021,28/04/2021 05:00,28,4,2021,05:00:00,5,118,2021_118,2,-1,5,3,1,Spring,night,10.85,Flood,3.4,24167
3,28/04/2021,28/04/2021 06:00,28,4,2021,06:00:00,6,118,2021_118,2,0,6,0,0,Spring,morning,10.75,HW,3.4,21269
3,28/04/2021,28/04/2021 07:00,28,4,2021,07:00:00,7,118,2021_118,2,1,-5,0,0,Spring,day,10.75,Ebb,3.4,17931
3,28/04/2021,28/04/2021 08:00,28,4,2021,08:00:00,8,118,2021_118,2,2,-4,0,0,Spring,day,10.75,Ebb,3.4,18804
3,28/04/2021,28/04/2021 09:00,28,4,2021,09:00:00,9,118,2021_118,2,3,-3,2,1,Spring,day,10.75,Ebb,3.4,17505
3,28/04/2021,28/04/2021 10:00,28,4,2021,10:00:00,10,118,2021_118,2,4,-2,0,0,Spring,day,10.7,Ebb,3.4,37173
3,28/04/2021,28/04/2021 11:00,28,4,2021,11:00:00,11,118,2021_118,2,5,-1,0,0,Spring,day,10.7,Ebb,3.4,17747
3,28/04/2021,28/04/2021 12:00,28,4,2021,12:00:00,12,118,2021_118,2,6,0,0,0,Spring,day,10.7,LW,3.4,16747
3,28/04/2021,28/04/2021 13:00,28,4,2021,13:00:00,13,118,2021_118,2,-6,1,0,0,Spring,day,10.7,Flood,3.4,17167
3,28/04/2021,28/04/2021 14:00,28,4,2021,14:00:00,14,118,2021_118,2,-5,2,0,0,Spring,day,10.75,Flood,3.4,17812
3,28/04/2021,28/04/2021 15:00,28,4,2021,15:00:00,15,118,2021_118,2,-4,3,0,0,Spring,day,10.75,Flood,3.4,17786
3,28/04/2021,28/04/2021 16:00,28,4,2021,16:00:00,16,118,2021_118,2,-3,4,0,0,Spring,day,10.75,Flood,3.4,17581
3,28/04/2021,28/04/2021 17:00,28,4,2021,17:00:00,17,118,2021_118,2,-2,5,0,0,Spring,day,10.85,Flood,3.4,18336
3,28/04/2021,28/04/2021 18:00,28,4,2021,18:00:00,18,118,2021_118,2,-1,6,0,0,Spring,day,10.8,HW,3.4,17968
3,28/04/2021,28/04/2021 19:00,28,4,2021,19:00:00,19,118,2021_118,2,0,-6,0,0,Spring,day,10.8,HW,3.4,22878
3,28/04/2021,28/04/2021 20:00,28,4,2021,20:00:00,20,118,2021_118,2,1,-5,0,0,Spring,day,10.8,Ebb,3.4,16961
3,28/04/2021,28/04/2021 21:00,28,4,2021,21:00:00,21,118,2021_118,2,2,-4,1,1,Spring,evening,10.75,Ebb,3.4,38263
3,28/04/2021,28/04/2021 22:00,28,4,2021,22:00:00,22,118,2021_118,2,3,-3,1,1,Spring,night,10.75,Ebb,3.4,62699
3,28/04/2021,28/04/2021 23:00,28,4,2021,23:00:00,23,118,2021_118,2,4,-2,0,0,Spring,night,10.7,Ebb,3.4,29018
3,29/04/2021,29/04/2021 00:00,29,4,2021,00:00:00,0,119,2021_119,3,5,-1,1,1,Spring,night,10.75,Ebb,3.3,29100
3,29/04/2021,29/04/2021 01:00,29,4,2021,01:00:00,1,119,2021_119,3,6,0,1,1,Spring,night,10.75,LW,3.3,27204
3,29/04/2021,29/04/2021 02:00,29,4,2021,02:00:00,2,119,2021_119,3,-5,1,4,1,Spring,night,10.7,Flood,3.3,28056
3,29/04/2021,29/04/2021 03:00,29,4,2021,03:00:00,3,119,2021_119,3,-4,2,0,0,Spring,night,10.75,Flood,3.3,27375
3,29/04/2021,29/04/2021 04:00,29,4,2021,04:00:00,4,119,2021_119,3,-3,3,0,0,Spring,night,10.75,Flood,3.3,24127
3,29/04/2021,29/04/2021 05:00,29,4,2021,05:00:00,5,119,2021_119,3,-2,4,0,0,Spring,night,10.8,Flood,3.3,33123
3,29/04/2021,29/04/2021 06:00,29,4,2021,06:00:00,6,119,2021_119,3,-1,5,18,1,Spring,morning,10.75,Flood,3.3,46744
3,29/04/2021,29/04/2021 07:00,29,4,2021,07:00:00,7,119,2021_119,3,0,6,14,1,Spring,day,10.75,HW,3.3,26083
3,29/04/2021,29/04/2021 08:00,29,4,2021,08:00:00,8,119,2021_119,3,1,-5,0,0,Spring,day,10.75,Ebb,3.3,21345
3,29/04/2021,29/04/2021 09:00,29,4,2021,09:00:00,9,119,2021_119,3,2,-4,1,1,Spring,day,10.75,Ebb,3.3,120004
3,29/04/2021,29/04/2021 10:00,29,4,2021,10:00:00,10,119,2021_119,3,3,-3,2,1,Spring,day,10.75,Ebb,3.3,164411
3,29/04/2021,29/04/2021 11:00,29,4,2021,11:00:00,11,119,2021_119,3,4,-2,0,0,Spring,day,10.7,Ebb,3.3,208650
3,29/04/2021,29/04/2021 12:00,29,4,2021,12:00:00,12,119,2021_119,3,5,-1,8,1,Spring,day,10.7,Ebb,3.3,71346
3,29/04/2021,29/04/2021 13:00,29,4,2021,13:00:00,13,119,2021_119,3,6,0,6,1,Spring,day,10.75,LW,3.3,24612
3,29/04/2021,29/04/2021 14:00,29,4,2021,14:00:00,14,119,2021_119,3,-5,1,0,0,Spring,day,10.75,Flood,3.3,21432
3,29/04/2021,29/04/2021 15:00,29,4,2021,15:00:00,15,119,2021_119,3,-4,2,0,0,Spring,day,10.75,Flood,3.3,17850
3,29/04/2021,29/04/2021 16:00,29,4,2021,16:00:00,16,119,2021_119,3,-3,3,0,0,Spring,day,10.75,Flood,3.3,17838
3,29/04/2021,29/04/2021 17:00,29,4,2021,17:00:00,17,119,2021_119,3,-2,4,0,0,Spring,day,10.75,Flood,3.3,17305
3,29/04/2021,29/04/2021 18:00,29,4,2021,18:00:00,18,119,2021_119,3,-1,5,0,0,Spring,day,10.8,Flood,3.3,18830
3,29/04/2021,29/04/2021 19:00,29,4,2021,19:00:00,19,119,2021_119,3,0,6,0,0,Spring,day,10.8,HW,3.3,18039
3,29/04/2021,29/04/2021 20:00,29,4,2021,20:00:00,20,119,2021_119,3,1,-6,0,0,Spring,day,10.75,HW,3.3,17473
3,29/04/2021,29/04/2021 21:00,29,4,2021,21:00:00,21,119,2021_119,3,2,-5,0,0,Spring,evening,10.8,Ebb,3.3,41290
3,29/04/2021,29/04/2021 22:00,29,4,2021,22:00:00,22,119,2021_119,3,3,-4,0,0,Spring,night,10.75,Ebb,3.3,74832
3,29/04/2021,29/04/2021 23:00,29,4,2021,23:00:00,23,119,2021_119,3,4,-3,0,0,Spring,night,10.75,Ebb,3.3,97232
3,30/04/2021,30/04/2021 00:00,30,4,2021,00:00:00,0,120,2021_120,4,5,-2,0,0,Spring,night,10.7,Ebb,3.1,148398
3,30/04/2021,30/04/2021 01:00,30,4,2021,01:00:00,1,120,2021_120,4,6,-1,0,0,Spring,night,10.75,Ebb,3.1,67547
3,30/04/2021,30/04/2021 02:00,30,4,2021,02:00:00,2,120,2021_120,4,-6,0,0,0,Spring,night,10.75,LW,3.1,28998
3,30/04/2021,30/04/2021 03:00,30,4,2021,03:00:00,3,120,2021_120,4,-5,1,0,0,Spring,night,10.75,Flood,3.1,26037
3,30/04/2021,30/04/2021 04:00,30,4,2021,04:00:00,4,120,2021_120,4,-4,2,0,0,Spring,night,10.7,Flood,3.1,25664
3,30/04/2021,30/04/2021 05:00,30,4,2021,05:00:00,5,120,2021_120,4,-3,3,0,0,Spring,night,10.7,Flood,3.1,23725
3,30/04/2021,30/04/2021 06:00,30,4,2021,06:00:00,6,120,2021_120,4,-2,4,2,1,Spring,morning,10.75,Flood,3.1,22283
3,30/04/2021,30/04/2021 07:00,30,4,2021,07:00:00,7,120,2021_120,4,-1,5,0,0,Spring,day,10.75,Flood,3.1,19784
3,30/04/2021,30/04/2021 08:00,30,4,2021,08:00:00,8,120,2021_120,4,0,6,0,0,Spring,day,10.75,HW,3.1,36987
3,30/04/2021,30/04/2021 09:00,30,4,2021,09:00:00,9,120,2021_120,4,1,-5,2,1,Spring,day,10.75,Ebb,3.1,111220
